party,word,frequency,polarity
Νέα Δημοκρατία,αυτ,895535,negative
Νέα Δημοκρατία,σ,338451,negative
Νέα Δημοκρατία,λογ,145824,negative
Νέα Δημοκρατία,μον,108860,negative
Νέα Δημοκρατία,οχι,93946,negative
Νέα Δημοκρατία,τετοι,39661,negative
Νέα Δημοκρατία,κρις,24429,negative
Νέα Δημοκρατία,κοιν,21519,negative
Νέα Δημοκρατία,ζω,20298,negative
Νέα Δημοκρατία,μελ,19453,negative
ΠΑΣΟΚ-ΚΙΝΗΜΑ ΑΛΛΑΓΗΣ,αυτ,857918,negative
ΠΑΣΟΚ-ΚΙΝΗΜΑ ΑΛΛΑΓΗΣ,σ,284729,negative
ΠΑΣΟΚ-ΚΙΝΗΜΑ ΑΛΛΑΓΗΣ,λογ,137680,negative
ΠΑΣΟΚ-ΚΙΝΗΜΑ ΑΛΛΑΓΗΣ,μον,103622,negative
ΠΑΣΟΚ-ΚΙΝΗΜΑ ΑΛΛΑΓΗΣ,οχι,91684,negative
ΠΑΣΟΚ-ΚΙΝΗΜΑ ΑΛΛΑΓΗΣ,τετοι,38495,negative
ΠΑΣΟΚ-ΚΙΝΗΜΑ ΑΛΛΑΓΗΣ,κρις,23892,negative
ΠΑΣΟΚ-ΚΙΝΗΜΑ ΑΛΛΑΓΗΣ,κοιν,21291,negative
ΠΑΣΟΚ-ΚΙΝΗΜΑ ΑΛΛΑΓΗΣ,ζω,19090,negative
ΠΑΣΟΚ-ΚΙΝΗΜΑ ΑΛΛΑΓΗΣ,ερωτ,19006,negative
Συνασπισμός Ριζοσπαστικής Αριστεράς,αυτ,357192,negative
Συνασπισμός Ριζοσπαστικής Αριστεράς,σ,115291,negative
Συνασπισμός Ριζοσπαστικής Αριστεράς,λογ,46075,negative
Συνασπισμός Ριζοσπαστικής Αριστεράς,μον,41347,negative
Συνασπισμός Ριζοσπαστικής Αριστεράς,οχι,39119,negative
Συνασπισμός Ριζοσπαστικής Αριστεράς,τετοι,15888,negative
Συνασπισμός Ριζοσπαστικής Αριστεράς,κρις,13633,negative
Συνασπισμός Ριζοσπαστικής Αριστεράς,ζω,8259,negative
Συνασπισμός Ριζοσπαστικής Αριστεράς,κατω,7063,negative
Συνασπισμός Ριζοσπαστικής Αριστεράς,κοιν,6551,negative
Κομμουνιστικό Κόμμα Ελλάδας,αυτ,251743,negative
Κομμουνιστικό Κόμμα Ελλάδας,σ,53329,negative
Κομμουνιστικό Κόμμα Ελλάδας,οχι,33473,negative
Κομμουνιστικό Κόμμα Ελλάδας,μον,30537,negative
Κομμουνιστικό Κόμμα Ελλάδας,λογ,26041,negative
Κομμουνιστικό Κόμμα Ελλάδας,τετοι,15316,negative
Κομμουνιστικό Κόμμα Ελλάδας,ζω,7613,negative
Κομμουνιστικό Κόμμα Ελλάδας,κρις,7089,negative
Κομμουνιστικό Κόμμα Ελλάδας,κατω,7018,negative
Κομμουνιστικό Κόμμα Ελλάδας,βαρ,6829,negative
Λαϊκός Σύνδεσμος - Χρυσή Αυγή,αυτ,39843,negative
Λαϊκός Σύνδεσμος - Χρυσή Αυγή,σ,11714,negative
Λαϊκός Σύνδεσμος - Χρυσή Αυγή,οχι,8315,negative
Λαϊκός Σύνδεσμος - Χρυσή Αυγή,μον,6287,negative
Λαϊκός Σύνδεσμος - Χρυσή Αυγή,λογ,3260,negative
Λαϊκός Σύνδεσμος - Χρυσή Αυγή,τετοι,1723,negative
Λαϊκός Σύνδεσμος - Χρυσή Αυγή,βαρ,1283,negative
Λαϊκός Σύνδεσμος - Χρυσή Αυγή,ζω,946,negative
Λαϊκός Σύνδεσμος - Χρυσή Αυγή,τουρκι,795,negative
Λαϊκός Σύνδεσμος - Χρυσή Αυγή,μελ,740,negative
